"文献番号","出願番号","出願日","公知日","発明の名称","出願人/権利者","FI","要約","公開番号","公告番号","登録番号","審判番号","その他","ステージ","イベント詳細","文献URL"
"特許7436759","特願2023-546099","2023/07/24","2024/02/22","差動式移動装置","株式会社椿本チエイン","B25J5/04,B65G15/28,B25J17/00@G","【要約】
  差動式移動装置は、無端状の経路を構成する無端部材であって、内側に配置される第１経路部と、外側に配置される第２経路部と、第１経路部と第２経路部を接続する接続経路部とを有する、無端部材と、第１経路部に連結される第１駆動ローラと、第２経路部に連結される第２駆動ローラと、第１駆動ローラを回転駆動させる第１駆動モータと、第２駆動ローラを回転駆動させる第２駆動モータと、第１駆動モータおよび第２駆動モータを制御する制御部と、接続経路部に連結され、第１経路部および第２経路部の動きに伴って第１軸方向に沿って直線移動および／又は回転する動滑車と、動滑車の直線移動に伴って第１軸方向に沿って移動する第１移動部材と、第１移動部材に保持され、動滑車の回転に伴って移動する第２移動部材とを有する、動滑車ユニットと、を備える。
","","","特許7436759","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-7436759/15/ja"
"特開2024-019690","特願2023-217911","2023/12/25","2024/02/09","物体の取り扱いを伴うロボットシステムのためのシステム及び方法","株式会社Ｍｕｊｉｎ","B25J13/08@A","(57)【要約】
【課題】規則的又は半規則的に配置される物体の検出、識別、及び物体の取り出しを等しく改善するコンピューティングシステムを提供すること。
【解決手段】コンピューティングシステムは、エンドエフェクタ装置を含む又はこれに取り付けられたロボットアームを有するロボットと通信する処理回路を含む。処理回路は、物体の供給源内の複数の物体の中から標的物体を識別し、ロボットアーム及びエンドエフェクタ装置が複数の物体に接近するための接近軌道を決定し、標的物体をエンドエフェクタ装置で把持するための把持動作を決定し、ロボットアーム及びエンドエフェクタ装置を制御して、決定された軌道をとおって標的物体を選び取る。処理回路は、目的地接近軌道を決定し、ロボットアーム及び標的物体をグリップするエンドエフェクタ装置を制御して、目的地に接近し、目的地内に標的物体を解放する。
【選択図】図４
","特開2024-019690","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-019690/11/ja"
"特開2024-004765","特願2022-104578","2022/06/29","2024/01/17","滑り止め部材","三菱マテリアル株式会社","H01L21/68@N,C25F3/02@B,C23F1/00@Z,C23F1/00,101,H01L21/68@A,B25J15/08@P","(57)【要約】
【課題】高温環境下およびクリーン環境下でも安定して使用可能であり、対象物を十分に固定することが可能な滑り止め部材を提供する。
【解決手段】無機材料からなる基材の表面の少なくとも一部に、複数の突起体２１が立設した突起体領域２０を有しており、突起体２１は、第１方向と、この第１方向と交差する第２方向とに、それぞれ周期的に配置されており、突起体２１の第１方向における平均ピッチＰ１および第２方向における平均ピッチＰ２が２０ｎｍ以上１０００ｎｍ以下の範囲内とされており、前記表面における静摩擦係数が０．２０以上とされていることを特徴とする。
【選択図】図１
","特開2024-004765","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-004765/11/ja"
"特開2024-004760","特願2022-104569","2022/06/29","2024/01/17","滑り止め部材","三菱マテリアル株式会社","H01L21/68@A,B25J15/08@P","(57)【要約】
【課題】高温環境下およびクリーン環境下でも安定して使用可能であり、対象物を十分に固定することが可能な滑り止め部材を提供する。
【解決手段】無機材料からなる基材１１の表面の少なくとも一部に、一方向に延在する複数の突条部２１からなるストライプ構造２０が形成されており、突条部２１の平均ピッチが２０ｎｍ以上１０００ｎｍ以下の範囲内とされており、表面における静摩擦係数が０．２０以上とされていることを特徴とする。
【選択図】図２
","特開2024-004760","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-004760/11/ja"
"特開2024-002217","特願2022-101286","2022/06/23","2024/01/11","部品供給システム","ＮＴＮ株式会社","B25J17/02@A,B65G47/14,101@B,B65G47/90@B,B25J13/08@A","(57)【要約】
【課題】ワークを掴むハンドが他のワークや機器に接触するのを回避できる部品供給システムを提供する。
【解決手段】部品供給システムＳＹは、ワークＷを搬送台８に供給する部品供給装置２と、搬送台８が配置された第１のエリアＡ１から第１のエリアＡ１とは異なる第２のエリアＡ２にワークＷを搬送するロボット４と、ロボット４のアーム１０の先端に取り付けられたハンド６とを備えている。ハンド６は、第１のエリアＡ１で搬送台８上のワークＷをピックアップし、第２のエリアＡ２でワークＷを置く。ハンド６は、ワークＷを把持する又は離す把持部３８と、把持部３８の姿勢を変更する１自由度以上のアクチュエータ４０とを有している。
【選択図】図１
","特開2024-002217","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2024-002217/11/ja"
"特開2023-178407","特願2023-182453","2023/10/24","2023/12/14","安全用途のためのシステムアーキテクチャ","ヴェオ　ロボティクス，　インコーポレイテッド","B25J19/06,G05B9/02@Z","(57)【要約】
【課題】安全用途のためのシステムアーキテクチャの提供。
【解決手段】産業機械類（例えば、ロボット）または医療デバイス等の他のデバイスのための制御システムは、必ずしも安全定格ではない安全用途および算出構成要素への統合のために設計された安全プロセッサ（ＳＰ）を利用する。ＳＰは、待ち時間チェックおよび同じ出力の検証を含む、非安全算出構成要素の性能を監視する。１つ以上のセンサは、ＳＰが実施することができない洗練された処理および分析のために、データを非安全算出構成要素に送信するが、本処理の結果は、ＳＰに送信され、これは、次いで、ＳＰによって制御されている機械類またはデバイスへの安全定格信号を発生させる。結果として、本システムは、安全定格構成要素の範囲を超える複雑な動作を実施する能力にもかかわらず、安全定格に適格であり得る。
【選択図】図１
","特開2023-178407","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-178407/11/ja"
"特開2023-173342","特願2022-085526","2022/05/25","2023/12/07","シート、駆動部品、駆動部品の組み立て方法および駆動部品の駆動方法","公益財団法人函館地域産業振興財団,公立大学法人公立はこだて未来大学","B25J15/08@D,F16H21/10@Z","(57)【要約】
【課題】簡便な組み立てによって駆動部品を作成可能な技術を提供する。
【解決手段】１枚のシートであって、シートは、駆動部品の駆動部を形成するための駆動形成部と、駆動部による力学的な作用に応じて作動する駆動部品の作動部を形成するための作動形成部と、切れ目部と、を備え、駆動形成部は、切れ目部と係合するように構成された駆動係合部を含み、作動形成部は、切れ目部と係合するように構成された作動係合部を含み、駆動部は、駆動係合部が切れ目部と係合することによって形成され、作動部は、作動係合部が切れ目部と係合することによって形成される、駆動部品の組み立て用のシート。
【選択図】図１
","特開2023-173342","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-173342/11/ja"
"特開2023-171361","特願2023-083409","2023/05/19","2023/12/01","試料容器を把持する把持装置","エフ　ホフマン－ラ　ロッシュ　アクチェン　ゲゼルシャフト","B25J15/08@C,G01N35/04@G","(57)【要約】      （修正有）
【課題】現在の最新技術を拡張する方法およびデバイスを提供する。
【解決手段】試料容器６を把持する把持装置であって、グリッパアクチュエータを備えるグリッパ本体と、それぞれが把持面４１を備える少なくとも２つのグリッパフィンガー４と、を備え、グリッパフィンガー４のうちの少なくとも１つが、グリッパ本体に移動可能に結合され、把持装置が、少なくとも１つの移動可能グリッパフィンガー４を移動させることによって、少なくとも２つのグリッパフィンガー４の把持面４１によって試料容器６を把持するように設計されており、把持装置が、把持装置によって把持されようとしている試料容器６に弾性的に接触するための少なくとも１つの弾性的に取り付けられた接触面５１を備える、ことを特徴とする、把持装置。
【選択図】図４Ｂ
","特開2023-171361","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-171361/11/ja"
"特開2023-169990","特願2022-081388","2022/05/18","2023/12/01","内接噛合遊星歯車装置、ロボット用関節装置及び波動歯車装置","霊智信息服務（深▲セン▼）有限公司,広東▲極▼▲亞▼精机科技有限公司,広東美的制冷設備有限公司,美的集団股▲フン▼有限公司","F16H1/32@A,F16H1/32@B,B25J17/00@E","(57)【要約】
【課題】歯車間の噛合部位に生じる振動を低減可能な内接合遊星歯車装置、ロボット用関節装置及び波動歯車装置を提供する。
【解決手段】内接噛合遊星歯車装置１Ａは、内歯歯車２と、遊星歯車３と、を備える。内歯歯車２は、環状の歯車本体２２と、歯車本体２２の内周面に形成された複数の内周溝に自転可能な状態で保持され内歯２１を構成する複数の外ピン２３と、を有する。遊星歯車３は、内歯２１に部分的に噛み合う外歯を有する。内接噛合遊星歯車装置１Ａは、回転軸Ａｘ１を中心に遊星歯車３を揺動させることにより、遊星歯車３を内歯歯車２に対して相対的に回転させる。回転軸Ａｘ１を中心とする第１歯車における複数の第２歯車との噛合部位間において、遊星歯車３の揺動時に互いに異なる噛み合い位相が生じる。
【選択図】図１３
","特開2023-169990","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-169990/11/ja"
"特開2023-169989","特願2022-081387","2022/05/18","2023/12/01","内接噛合遊星歯車装置、ロボット用関節装置及び波動歯車装置","霊智信息服務（深▲セン▼）有限公司,広東▲極▼▲亞▼精机科技有限公司,広東美的制冷設備有限公司,美的集団股▲フン▼有限公司","F16H1/32@A,F16H1/32@B,B25J17/00@E","(57)【要約】
【課題】歯車間の噛合部位に生じる振動を低減可能な内接合遊星歯車装置、ロボット用関節装置及び波動歯車装置を提供する。
【解決手段】内接噛合遊星歯車装置１Ｂは、内歯歯車２と、遊星歯車３と、を備える。内歯歯車２は、環状の歯車本体と、歯車本体の内周面に形成された複数の内周溝に自転可能な状態で保持され内歯を構成する複数の外ピンと、を有する。遊星歯車３は、内歯に部分的に噛み合う外歯を有する。内接噛合遊星歯車装置１Ｂは、回転軸Ａｘ１を中心に遊星歯車３を揺動させることにより、遊星歯車３を内歯歯車２に対して相対的に回転させる。回転軸Ａｘ１を中心とする第１歯車における複数の第２歯車との噛合部位間において、第１歯車の周方向に均等な噛み合い位相が設定されている。回転軸Ａｘ１に対して対称な位置にある一対の噛合部位間においては噛み合い位相がゼロになる。
【選択図】図１９
","特開2023-169989","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-169989/11/ja"
"特開2023-165643","特願2023-073227","2023/04/27","2023/11/16","非対面検体採取のための検体採取ロボットシステム","コリア・インスティテュート・オブ・サイエンス・アンド・テクノロジー","A61B10/02,130,B25J11/00@C","(57)【要約】
【課題】スワブで被検者の検体採取を行い、検体採取したスワブを試薬チューブに入れる過程を含む検体採取プロセスを行うための検体採取ロボットシステムを提供する。
【解決手段】検体採取ロボットシステム１は、グリッパ４００とロボットアーム２００を備えるロボット２０を含み、前記グリッパ４００は、同じ把持部ＧＡを用いて直径が相異なる物体を把持可能に構成され、前記ロボット２０は、前記グリッパ４００の交換なしに、スワブSと試薬チューブＵを選択的に把持して、前記検体採取プロセスを進行する。
【選択図】図２
","特開2023-165643","","特許7546100","","","特許 有効","登録公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-165643/11/ja"
"特開2023-157745","特願2022-067839","2022/04/15","2023/10/26","遠隔制御システム、遠隔制御方法及び遠隔制御プログラム","川崎重工業株式会社","B25J3/00@A","(57)【要約】
【課題】操作装置とロボットとの間の双方向の力制御を適切に行いつつ、ロボットの接触の発生を操作者に適切に提示する。
【解決手段】遠隔制御システム１００は、操作者に操作される操作装置４と、操作装置４への操作に応じて動作するロボット１と、物体へのロボット１の接触の発生を操作者に提示する触覚提示器８と、操作者から操作装置４へ加えられる操作力に応じてロボット１を動作させると共にロボット１が外部から受ける反力に応じて操作装置４を動作させる力制御と、ロボット１が物体に接触した場合に接触の発生を触覚提示器８を介して操作者に提示する提示制御とを実行する制御装置５とを備える。
【選択図】図５

","特開2023-157745","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-157745/11/ja"
"特開2023-146304","特願2022-053430","2022/03/29","2023/10/12","産業機器の制御装置","ＮＴＮ株式会社","B25J9/10@A,B25J11/00@D","(57)【要約】
【課題】幅広い搭載重量に対応でき汎用性を高めることができる産業機器の制御装置を提供する。
【解決手段】制御装置Ｃｕは、姿勢制御用アクチュエータ１０により先端部材４０が移動可能に設けられたリンク作動装置７における、姿勢制御用アクチュエータ１０を制御する。パラレルリンク機構は、基端側のリンクハブ１２に対し先端側のリンクハブ１３を３組のリンク機構１４を介して姿勢変更可能に連結したものである。制御装置Ｃｕは、先端部材４０に作用する負荷に応じて、姿勢制御用アクチュエータ１０または先端部材４０の加加速度を調整するように制御パラメータを切り替えるパラメータ切替手段６５ｂを備えている。パラメータ切替手段６５ｂは、移動平均フィルタのフィルタ時定数およびモデル追従制御ゲインの少なくともいずれか１つを含む複数の制御パラメータを切り替える。
【選択図】図１
","特開2023-146304","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-146304/11/ja"
"特開2023-131146","特願2023-034778","2023/03/07","2023/09/21","物体の取り扱いを伴うロボットシステムのための非一時的コンピュータ可読媒体、システム及び方法","株式会社Ｍｕｊｉｎ","B25J13/08@A","(57)【要約】
【課題】規則的又は半規則的に配置される物体の検出、識別、及び物体の取り出しを等しく改善するコンピューティングシステムを提供すること。
【解決手段】コンピューティングシステムは、エンドエフェクタ装置を含む又はこれに取り付けられたロボットアームを有するロボットと通信する処理回路を含む。処理回路は、物体の供給源内の複数の物体の中から標的物体を識別し、ロボットアーム及びエンドエフェクタ装置が複数の物体に接近するための接近軌道を決定し、標的物体をエンドエフェクタ装置で把持するための把持動作を決定し、ロボットアーム及びエンドエフェクタ装置を制御して、決定された軌道をとおって標的物体を選び取る。処理回路は、目的地接近軌道を決定し、ロボットアーム及び標的物体をグリップするエンドエフェクタ装置を制御して、目的地に接近し、目的地内に標的物体を解放する。
【選択図】図４
","特開2023-131146","","","拒絶2023-021932","","査定不服","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-131146/11/ja"
"特開2023-131064","特願2022-035740","2022/03/08","2023/09/21","ロボットシステム及び台車","川崎重工業株式会社","B25J5/00@E","(57)【要約】
【課題】台車の挙動を考慮したロボットの制御を簡易にするロボットシステム等を提供する。
【解決手段】ロボットシステムは、第１エンドエフェクタを有する第１ロボットアームと、第２エンドエフェクタを有する第２ロボットアームと、前記第１ロボットアーム及び前記第２ロボットアームを搭載する移動装置と、制御装置とを含むロボットと、複数のホイールが取り付けられた第１支持体と、把持部とを含む台車とを備え、前記第１支持体は、前記ロボットの一部を受け入れる凹部を、前記第１支持体における第１方向の第１端部に含み、前記制御装置は、前記凹部に前記ロボットの一部をはめ込んだ状態で、前記第１エンドエフェクタ及び前記第２エンドエフェクタに前記把持部を把持させつつ、前記移動装置に前記台車と共に前記ロボットを移動させる。
【選択図】図６
","特開2023-131064","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-131064/11/ja"
"特開2023-131063","特願2022-035739","2022/03/08","2023/09/21","ロボットの制御方法及びロボット","川崎重工業株式会社","B25J5/00@E","(57)【要約】
【課題】台車の挙動を考慮したロボットの制御を簡易にするロボットの制御方法等を提供する。
【解決手段】ロボットの制御方法は、移動可能なロボットの制御方法であって、前記ロボットが備える２つのロボットアームに、前記２つのロボットアームが備える２つのエンドエフェクタを第１間隔で、台車の横方向に延びる把持部に配置させることと、前記２つのエンドエフェクタの間隔を前記第１間隔よりも大きい第２間隔に広げるように、前記２つのロボットアームに、前記２つのエンドエフェクタを前記把持部に沿って移動させることと、前記２つのエンドエフェクタの間隔が前記第２間隔である状態で、前記台車と共に前記ロボットに移動させることとを含み、前記台車は、前記把持部上での前記第２間隔を超える前記エンドエフェクタの移動を妨げる支障物を含む。
【選択図】図８
","特開2023-131063","","","","","審査請求前","公開公報の発行","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-131063/11/ja"
"特開2023-125712","特願2022-029966","2022/02/28","2023/09/07","情報処理装置","川崎重工業株式会社","B25J9/22@A,G05B23/02@R,G05B23/02@G","(57)【要約】
【課題】機械装置に関する様々な検討を容易に行うことができる情報処理装置を提供する。
【解決手段】情報処理装置は、データを記憶する記憶器と、プロセッサと、を備え、第１端末と通信可能な情報処理装置であって、記憶器は、動作プログラムに基づいて動作する機械装置の動作に関する仕様データと、仕様データに基づいて機械装置の動作に関する所定の処理を行うためのアプリケーションと、を記憶し、プロセッサは、第１端末からの操作に基づいてアプリケーションを実行することにより、第１端末からの操作に基づいて選択された機械装置に関する所定の処理を行う。
【選択図】図２
","特開2023-125712","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-125712/11/ja"
"特開2023-101524","特願2023-075939","2023/05/02","2023/07/21","遠隔操作医療システムにおけるオンスクリーンメニューのためのシステム及び方法","インテュイティブ　サージカル　オペレーションズ，　インコーポレイテッド","A61B34/35,B25J3/00@A,H04N7/18@M,H04N23/63","(57)【要約】
【課題】従来技術の問題を解決する。
【解決手段】システムが、操作者制御システムと、操作者制御システムの操作者制御デバイスによる操作のために構成される第１の遠隔操作マニピュレータとを含む、遠隔操作アセンブリを含む。第１の遠隔操作マニピュレータは、手術環境において第１の医療器具の動作を制御するように構成される。システムは、１つ又はそれよりも多くのプロセッサを含む処理ユニットも含む。処理ユニットは、手術環境の視野の画像を表示して、視野の画像中の第１の医療器具の画像に近接して画像を表示するように構成される。メニューは、第１の医療器具の機能を表す少なくとも１つのアイコンを含む。
【選択図】図１Ａ
","特開2023-101524","","","","","審査中","手続補正","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-101524/11/ja"
"特開2023-090862","特願2023-075640","2023/05/01","2023/06/29","ロボットアームの境界を示すロボットシステム","オーリス　ヘルス　インコーポレイテッド","A61B34/30,B25J11/00@Z","(57)【要約】
【課題】医療手技を実行するロボットシステムを提供すること。
【解決手段】いくつかの態様は、手術ロボットアームのセットアップ用のシステムおよび技術に関する。一態様では、医療器具を操作する第１のロボットアーム、プロセッサ、メモリを有するシステムを提供する。プロセッサは、第１のロボットアームによって医療器具を前進させて、アクセスポイントから経路を経由して目標領域に到達させることができる、第１のロボットアームの最小のストローク長を決定することと、最小のストローク長とメモリに記憶されたマッピングとに基づいて、第１のロボットアームの初期姿勢の境界を決定することと、手技の実行前のアームセットアップフェーズ時に、第１のロボットアームの移動時の境界の指標を提供することを実行する。
【選択図】図１６
","特開2023-090862","","","","","審査中","拒絶理由通知","https://www.j-platpat.inpit.go.jp/c1801/PU/JP-2023-090862/11/ja"
